name	game_sim_settings	avg	max	min	stddev	sum	num_instances
totalHealthy	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	166.8	189	147	17.541379649275026	834	5
totalHealthy	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	122.0	130	112	7.905694150420946	610	5
totalExposed	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	236.8	268	225	17.767948671695333	1184	5
totalExposed	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	555.6	576	537	15.257784898208522	2778	5
totalExposed	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	516.8	527	508	8.228000972289676	2584	5
totalExposed	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	433.6	448	417	12.421755109484328	2168	5
totalHealthy	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	245.0	260	230	12.922847983320086	1225	5
totalHealthy	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	169.2	203	143	23.0694603317893	846	5
totalHealthy	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	371.0	395	327	27.703790354390136	1855	5
totalExposed	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	440.4	457	417	16.334013591276335	2202	5
totalHealthy	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	141.2	146	128	7.529940238806678	706	5
totalExposed	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	246.8	270	216	20.48658097389606	1234	5
totalExposed	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	310.2	333	293	16.961721610732795	1551	5
totalHealthy	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	173.2	196	139	21.06418761785035	866	5
totalHealthy	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	181.0	212	149	23.388031127053	905	5
totalHealthy	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	335.2	352	324	10.449880382090504	1676	5
totalHealthy	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	138.0	153	128	10.173494974687902	690	5
totalHealthy	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	146.6	157	134	9.607288899580361	733	5
totalExposed	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	258.6	267	249	7.700649323271382	1293	5
totalExposed	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	333.2	360	298	24.097717734258577	1666	5
totalExposed	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	260.8	276	246	12.132600710482476	1304	5
totalExposed	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	217.6	230	203	11.523888232710346	1088	5
totalHealthy	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	489.4	510	474	14.993331851193044	2447	5
totalHealthy	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	490.8	520	473	19.715476154534027	2454	5
totalExposed	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	292.6	317	269	17.92484309554758	1463	5
totalExposed	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	574.2	583	561	8.92748564826626	2871	5
totalHealthy	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	455.4	488	430	21.835750502329894	2277	5
totalHealthy	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	216.4	247	199	18.59569842732453	1082	5
totalHealthy	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	84.0	99	73	11.31370849898476	420	5
totalHealthy	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	134.4	148	128	8.905054744357274	672	5
totalExposed	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	385.6	405	366	18.392933425639317	1928	5
totalExposed	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	556.6	592	540	20.562101059959787	2783	5
totalExposed	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	499.6	507	478	12.320714265009144	2498	5
totalHealthy	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	94.4	116	79	13.390294993016395	472	5
totalExposed	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	513.0	538	470	26.14383292480273	2565	5
totalHealthy	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	186.4	207	168	16.92040188648012	932	5
totalHealthy	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	254.4	279	233	17.938784797192927	1272	5
totalHealthy	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	59.4	73	42	11.886967653695368	297	5
totalHealthy	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	310.0	320	299	8.396427811873332	1550	5
totalExposed	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	532.0	544	524	7.7781745930520225	2660	5
totalExposed	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	405.4	420	379	16.727223320085137	2027	5
totalExposed	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	416.2	429	388	16.48332490731163	2081	5
totalExposed	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	573.4	600	536	23.76552124402073	2867	5
totalExposed	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	449.0	459	435	9.565563234854496	2245	5
totalExposed	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	309.8	322	289	14.889593681494473	1549	5
totalExposed	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	170.6	188	153	15.693947878083447	853	5
totalHealthy	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	241.4	262	224	14.959946523968597	1207	5
totalHealthy	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	235.6	251	217	14.275853739794341	1178	5
totalHealthy	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	322.2	334	311	8.228000972289689	1611	5
totalExposed	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"	521.6	533	505	10.334408546211037	2608	5
